Rank,Console,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
107,13,1998,2,3.68,1.75,1.42,0.28,7.13
108,19,2001,10,4.41,1.04,1.39,0.22,7.07
109,20,2014,3,3.13,2.07,1.27,0.49,6.96
110,11,2015,4,2.47,3.15,0.24,1.1,6.96
111,19,2003,3,4.12,1.77,0.87,0.19,6.95
112,1,2012,6,4.14,2.21,0,0.56,6.91
113,6,2013,1,0.78,4.32,0.07,1.73,6.9
114,7,2004,3,2.71,3.02,0.08,1.09,6.9
115,7,2002,7,2.93,2.75,0.17,0.99,6.83
116,6,2011,9,2.77,2.8,0.19,1.06,6.83
117,13,1996,2,3.23,2.35,0.94,0.3,6.82
118,1,2010,1,3.5,2.64,0,0.67,6.81
119,5,2008,7,4.15,1.92,0.06,0.64,6.76
120,6,2009,9,3.27,2.25,0.21,1,6.73
121,6,2007,7,3.1,2.3,0.28,1.04,6.72
122,6,2011,1,0.84,4.32,0.11,1.42,6.69
123,4,2005,6,1.67,2.78,1.6,0.62,6.67
124,6,2010,9,2.79,2.61,0.17,1.03,6.6
125,11,2014,1,0.79,4.29,0.05,1.47,6.59
126,1,2010,2,3.25,1.84,1.03,0.47,6.59
127,6,2011,4,2.55,2.71,0.25,1.05,6.56
128,2,1986,9,3.74,0.93,1.69,0.14,6.51
129,6,2012,9,2.64,2.56,0.16,1.14,6.5
130,14,2001,7,4.98,1.3,0.08,0.07,6.43
131,9,2004,4,2.57,1.58,2.06,0.21,6.41
132,7,2002,4,3.64,1.2,1.49,0.07,6.4
133,3,2000,4,2.55,1.56,1.29,0.99,6.39
134,5,2009,7,4.34,1.35,0.06,0.61,6.36
135,5,2010,9,3.7,1.97,0.09,0.57,6.34
136,19,2002,2,4.01,1.26,0.87,0.17,6.31
137,8,1992,10,2.47,0.83,2.87,0.12,6.3
138,15,2004,4,0.07,6.21,0,0,6.28
139,13,1999,9,3.11,2.8,0.02,0.33,6.27
140,5,2010,1,3.92,1.78,0.03,0.51,6.24
141,5,2011,7,4.05,1.62,0.07,0.49,6.24
142,5,2006,7,3.54,1.9,0.07,0.6,6.11
143,7,2001,9,2.45,2.01,0.87,0.72,6.05
144,21,1992,2,4.47,1.2,0.16,0.19,6.03
145,6,2008,9,2.63,1.74,0.83,0.83,6.03
146,13,1998,9,3.18,1.83,0.78,0.24,6.03
147,6,2013,9,2.41,2.28,0.28,1.01,5.99
148,7,2006,4,1.88,0,2.33,1.74,5.95
149,6,2008,2,2.8,2.05,0.17,0.9,5.92
150,4,2009,4,0.66,0.69,4.35,0.15,5.84
151,1,2007,9,3.66,1.63,0,0.53,5.83
152,13,1998,9,1.88,1.47,2.02,0.45,5.82
153,13,1996,10,2.26,1.89,1.36,0.23,5.74
154,4,2006,8,3.13,1.94,0.07,0.58,5.72
155,11,2014,7,2.49,2.05,0.16,0.96,5.65
156,2,1988,5,2.97,0.69,1.81,0.11,5.58
157,6,2009,9,2.54,1.95,0.21,0.87,5.57
158,12,1999,10,2.95,0.6,1.97,0.04,5.55
159,5,2007,11,3.28,1.65,0.07,0.55,5.55
160,6,2011,9,2.7,1.91,0.11,0.8,5.53
161,5,2009,3,2.99,1.92,0.1,0.51,5.51
162,17,2008,4,0.47,0.57,4.13,0.34,5.5
163,9,2001,2,3.14,1.24,0.91,0.2,5.49
164,9,2001,3,2.62,1.64,0.99,0.23,5.47
165,9,2001,2,3.21,1.11,0.95,0.2,5.46
166,12,1999,12,3.18,1.24,0.94,0.09,5.45
167,6,2008,7,2.72,1.87,0,0.84,5.43
168,7,2001,2,2.07,2.29,0.24,0.82,5.42
169,6,2014,6,1.97,2.51,0,0.94,5.42
170,6,2009,4,1.74,1.24,1.87,0.52,5.36
171,3,1989,5,2.18,0.96,2,0.2,5.34
172,3,1999,6,3.02,1.12,1.01,0.16,5.31
173,5,2012,9,3.13,1.71,0.03,0.44,5.3
174,13,2000,4,1.62,0.77,2.78,0.14,5.3
175,7,2003,4,1.92,1.08,2.11,0.17,5.29
176,12,1999,2,3.33,0.79,1.09,0.06,5.27
177,5,2009,9,3.1,1.56,0.08,0.51,5.27
178,4,2007,5,1.22,2.48,1.03,0.52,5.26
179,13,1997,9,2.3,2.46,0.2,0.28,5.24
181,7,2004,4,0.65,0.75,3.61,0.2,5.21
182,15,2012,4,2.43,2.15,0,0.62,5.2
183,9,2003,2,2.93,1.25,0.83,0.2,5.2
184,20,2012,2,2.32,1.3,1.27,0.31,5.19
185,3,1994,2,2.49,0.98,1.57,0.15,5.19
186,5,2012,9,1.08,3.48,0.03,0.58,5.18
187,4,2007,9,1.9,1.83,0.95,0.49,5.17
188,8,1995,2,2.1,0.74,2.2,0.11,5.15
189,10,2013,8,0.96,2.02,1.89,0.28,5.15
190,4,2008,1,1.64,2.48,0.44,0.58,5.14
191,7,2003,7,1.98,2.23,0.13,0.8,5.13
192,3,1992,2,2.71,0.61,1.7,0.11,5.13
193,5,2010,4,3.59,1.11,0.05,0.38,5.13
194,18,2014,7,3.21,1.53,0.01,0.38,5.13
195,15,1996,8,3.22,1.69,0,0.2,5.12
196,7,2006,6,3.81,0.63,0,0.68,5.12
197,6,2009,9,1.96,1.43,1.08,0.65,5.11
198,18,2014,9,2.66,2.01,0,0.41,5.08
199,17,2006,9,1.7,2.02,0.16,1.21,5.08
200,6,2010,1,0.6,3.29,0.06,1.13,5.08
201,3,1999,2,3.4,1.3,0.15,0.22,5.07
202,13,1996,9,2.05,1.16,1.11,0.73,5.05
203,13,1999,1,3.42,1.38,0.02,0.2,5.02
204,20,2014,10,2.59,1.06,0.8,0.57,5.02
205,13,1999,12,2.79,1.89,0,0.33,5.01
206,13,1998,2,3.36,1.36,0.07,0.21,5
207,1,2007,7,3.06,1.18,0.29,0.46,5
208,7,2007,6,3.49,0.01,0.01,1.48,4.98
209,5,2008,4,3.39,1.03,0.09,0.44,4.96
210,4,2007,4,1.85,1.2,1.54,0.37,4.96
211,6,2007,9,2.31,1.73,0.12,0.78,4.94
212,7,2005,1,3.98,0.26,0.01,0.66,4.91
213,4,2007,9,2.89,1.54,0,0.46,4.9
214,12,1997,3,2.91,0.99,0.89,0.1,4.88
215,17,2010,4,0,0,4.87,0,4.87
216,2,1990,5,2.62,0.6,1.52,0.1,4.85
217,6,2010,9,2.74,1.36,0.12,0.63,4.84
218,15,2010,12,2.56,1.68,0,0.59,4.83
219,6,2007,11,1.91,2,0.09,0.83,4.83
220,6,2014,1,0.57,3.14,0.04,1.07,4.82
221,13,1999,3,2.57,1.57,0.44,0.21,4.79
222,11,2016,1,0.28,3.75,0.06,0.69,4.77
223,5,2011,9,2.99,1.31,0.04,0.41,4.76
224,13,2000,9,2.36,2.1,0.02,0.25,4.73
225,7,2003,3,1.73,2.19,0,0.79,4.7
226,13,2000,1,3.05,1.41,0.02,0.2,4.68
227,1,2008,8,1.87,1.12,1.32,0.37,4.68
228,7,2002,9,1.94,1.95,0.08,0.7,4.67
229,5,2011,3,2.08,2.04,0.06,0.47,4.64
230,13,1996,9,2.29,1.97,0.13,0.24,4.63
231,1,2007,6,3.06,1.12,0,0.44,4.62
232,8,1991,9,2.42,0.91,1.15,0.13,4.61
233,19,2002,9,2.6,0.99,0.89,0.13,4.6
234,1,2009,1,1.89,1.99,0.22,0.48,4.58
235,10,2013,9,1.78,1.39,1.1,0.3,4.58
236,20,2015,7,1.55,1.15,1.44,0.43,4.57
237,11,2014,9,1.78,1.87,0.07,0.82,4.55
238,5,2007,6,3.19,0.92,0.01,0.42,4.53
239,7,2004,1,4.18,0.26,0.01,0.08,4.53
240,16,1981,2,4.21,0.24,0,0.05,4.5
241,7,2006,1,3.63,0.24,0.01,0.61,4.49
242,7,2002,9,2.71,1.51,0.03,0.23,4.48
243,13,2000,4,0.2,0.14,4.1,0.02,4.47
244,11,2015,9,1.96,1.69,0.08,0.74,4.47
245,6,2014,7,1.54,1.94,0.19,0.77,4.45
246,7,2005,9,2.71,1.29,0.02,0.43,4.45
247,20,2012,6,2.55,1.11,0.46,0.33,4.44
248,1,2010,6,2.67,1.35,0.01,0.39,4.42
249,7,2001,1,2.66,1.29,0.01,0.46,4.41
250,7,2006,1,0.1,2.39,1.05,0.86,4.39
251,5,2006,4,2.82,1.05,0.13,0.4,4.39
252,2,1987,11,2.19,0.5,1.61,0.08,4.38
253,7,2005,3,2.03,1.79,0.08,0.47,4.37
254,6,2006,7,1.73,1.73,0.14,0.75,4.35
255,21,1991,2,3.03,0.91,0.26,0.13,4.34
256,7,2005,4,2.2,0.58,1.38,0.17,4.33
257,5,2013,1,0.92,2.93,0.01,0.46,4.31
258,5,2014,7,2.75,1.18,0,0.37,4.31
259,16,1980,7,4,0.26,0,0.05,4.31
260,5,2008,4,2.51,1.27,0.11,0.41,4.31
261,18,2015,7,2.64,1.2,0.03,0.39,4.26
262,20,2013,2,2.11,1.11,0.72,0.3,4.25
263,6,2009,9,2.23,1.34,0.07,0.61,4.25
264,6,2011,9,1.41,2.02,0.1,0.72,4.24
265,9,2001,6,3,1.11,0.05,0.07,4.24
266,7,2004,9,1.46,0,0.83,1.93,4.23
267,17,2006,2,2.45,1.02,0,0.75,4.22
268,15,1995,12,1.7,2.27,0,0.23,4.21
269,10,2011,9,2.03,1.27,0.62,0.3,4.21
270,7,2005,1,0.78,2.55,0.04,0.84,4.21
271,7,2003,6,0.88,2.3,0.2,0.83,4.2
272,11,2016,7,1.3,2.07,0.18,0.65,4.2
273,6,2007,3,1.28,1.83,0.57,0.53,4.2
274,5,2011,9,2.25,1.47,0.04,0.43,4.19
275,6,2009,10,2.02,1.06,0.58,0.53,4.19
276,5,2011,1,0.84,2.79,0.02,0.53,4.19
277,2,1989,9,3.38,0.44,0.31,0.04,4.17
278,2,1984,3,2.04,0.48,1.57,0.07,4.16
279,13,1997,9,3.79,0.27,0,0.11,4.16
280,7,2002,1,3.36,0.21,0.01,0.56,4.14
281,11,2014,9,1.4,1.86,0.11,0.77,4.14
282,15,1997,7,4.03,0,0.09,0,4.12
283,8,1995,2,1.65,0.61,1.76,0.09,4.12
284,7,2006,1,0.71,2.48,0.03,0.89,4.11
285,1,2011,9,2.14,1.2,0.37,0.4,4.1
286,8,1992,10,1.42,0.51,2.1,0.07,4.1
287,1,2007,6,2.13,1.5,0.05,0.42,4.1
288,18,2015,4,2.45,1.26,0.01,0.37,4.09
289,15,2007,4,2.57,1.52,0,0,4.09
290,5,2010,4,2.65,1.06,0.04,0.33,4.08
291,7,2007,9,2.32,0.04,0.04,1.67,4.07
292,5,2007,3,2.35,1.28,0.03,0.41,4.06
293,7,2005,1,0.12,2.26,0.9,0.77,4.06
294,13,1996,6,2.28,1.55,0.16,0.06,4.05
295,7,2000,10,1.68,1.51,0.51,0.35,4.05
296,11,2014,7,1.12,2.12,0.1,0.69,4.03
297,12,1997,7,2.78,0.58,0.64,0.04,4.03
298,11,2014,6,1.38,1.87,0.12,0.65,4.02
299,2,1984,1,1.22,0.28,2.46,0.04,4.01
300,6,2008,4,2.15,1.2,0.07,0.59,4.01
301,4,2007,5,0.92,1.78,0.92,0.37,4
302,5,2009,7,2.67,0.89,0.05,0.37,3.99
303,7,2005,6,2.08,1.35,0,0.54,3.98
304,1,2009,1,2.1,1.36,0.06,0.4,3.92
305,11,2014,9,1.18,1.96,0.08,0.7,3.92
306,3,1994,2,1.97,0.76,1.07,0.11,3.91
307,7,2003,1,2.29,1.17,0.01,0.42,3.9
308,6,2013,9,1.33,1.71,0.13,0.73,3.89
309,10,2014,4,0.67,0.49,2.62,0.11,3.89
310,6,2006,3,1.53,1.61,0.06,0.67,3.88
311,15,2011,4,1.15,2.09,0,0.64,3.88
312,7,2005,10,0.93,1.94,0.31,0.7,3.87
313,2,1988,4,0.1,0,3.77,0,3.87
314,6,2010,1,2.12,1.14,0.1,0.51,3.87
315,11,2015,1,2.48,0.65,0.03,0.69,3.85
316,7,2004,1,0.16,1.89,1.12,0.68,3.85
317,4,2007,6,0.87,1.57,1.05,0.35,3.84
318,13,1995,6,2.12,1.44,0.22,0.06,3.84
319,3,1992,9,2.21,0.96,0.54,0.13,3.83
320,4,2009,4,2.26,0.48,0.81,0.27,3.83
321,1,2007,6,1.06,1.93,0.41,0.43,3.82
322,10,2011,8,1.44,1.37,0.73,0.27,3.81
323,11,2015,9,1.49,1.58,0.1,0.61,3.79
324,1,2011,1,1.14,1.91,0.27,0.46,3.78
325,5,2008,9,2.4,1.03,0,0.36,3.78
326,13,1996,9,1.82,1.24,0.47,0.25,3.77
327,17,2007,2,1.4,1.4,0.1,0.87,3.77
328,1,2013,6,1.98,1.47,0,0.32,3.76
329,15,2002,8,2.03,1.56,0,0.17,3.76
330,1,2007,2,1.98,0.88,0.59,0.32,3.76
331,13,2001,9,1.37,2,0.14,0.22,3.73
332,11,2015,4,0.96,2,0.21,0.56,3.73
333,13,1999,9,1.3,0.77,1.54,0.11,3.72
334,13,2000,2,1.93,1.58,0,0.19,3.71
335,7,2004,1,0.58,2.48,0.04,0.59,3.7
336,3,1998,12,1.49,0.73,1.38,0.1,3.7
337,6,2013,7,1.3,1.51,0.27,0.61,3.69
338,4,2007,8,1.59,1.61,0.08,0.41,3.69
339,4,2009,6,0,0,3.67,0,3.67
340,7,2002,1,2.13,1.18,0.01,0.35,3.67
341,17,2005,3,1.65,1.22,0,0.79,3.66
342,12,1998,2,1.87,1.13,0.55,0.1,3.65
343,7,2002,7,2.53,0.81,0.06,0.24,3.65
344,1,2008,6,2.33,0.97,0,0.35,3.65
345,6,2013,3,0.71,1.8,0.4,0.74,3.64
346,7,2001,2,2.08,1.09,0.15,0.33,3.64
347,12,1999,8,2.23,0.68,0.66,0.06,3.63
348,6,2009,1,0.6,2.46,0.05,0.52,3.63
349,7,2007,1,0.05,0,0.64,2.93,3.63
350,11,2013,7,1.78,1.42,0.05,0.38,3.63
351,7,2005,9,2.08,0.83,0.46,0.25,3.62
352,11,2016,7,1.28,1.61,0.15,0.57,3.61
353,7,2004,7,1.93,1.22,0.03,0.44,3.61
354,15,1994,7,2.05,1.4,0,0.16,3.61
355,7,2001,3,2.02,1.17,0,0.42,3.61
356,4,2007,8,1.61,1.5,0.1,0.39,3.61
357,19,2001,9,2.38,0.67,0.46,0.1,3.6
358,7,2005,7,2.18,1.02,0.03,0.37,3.59
359,13,2000,10,2.01,1.35,0.06,0.16,3.58
360,13,1997,2,1.57,1.79,0,0.2,3.56
361,7,2006,9,1.56,1.4,0.07,0.5,3.54
362,7,2002,9,1.23,1.77,0.05,0.49,3.54
363,13,1997,9,1.66,1.58,0.12,0.18,3.54
364,7,2001,7,1.9,1.13,0.1,0.41,3.53
365,7,2005,9,1.98,1.14,0.01,0.41,3.53
366,5,2013,7,2.14,1.08,0.02,0.29,3.53
367,5,2010,1,0.71,2.4,0.02,0.4,3.53
368,13,2000,9,1.96,1.33,0,0.23,3.52
369,13,1999,2,2.14,1.21,0.01,0.17,3.52
370,5,2008,7,2.66,0.5,0.05,0.3,3.52
371,4,2009,1,1.22,1.66,0.27,0.38,3.52
372,5,2009,9,2.11,0.94,0.12,0.34,3.51
373,8,1996,2,1.17,0.5,1.75,0.08,3.51
374,5,2010,9,2.84,0.39,0.03,0.24,3.5
375,2,1985,9,1.64,0.38,1.42,0.06,3.5
376,5,2009,9,2.2,0.97,0.02,0.31,3.5
377,4,2006,6,0.59,1.83,0.73,0.35,3.5
379,18,2015,7,1.94,1.22,0.02,0.31,3.49
380,5,2010,7,2.09,1.02,0.04,0.32,3.48
381,4,2008,6,2.11,1.01,0.01,0.35,3.48
382,18,2014,9,2.26,0.89,0,0.3,3.46
383,6,2012,7,0.88,1.75,0.1,0.72,3.45
384,10,2013,4,0,0,3.44,0,3.44
385,5,2009,7,2.39,0.73,0.03,0.29,3.44
386,7,2002,10,1.55,1.27,0.33,0.29,3.44
387,11,2013,7,1.34,1.54,0.17,0.38,3.43
388,6,2011,2,1.82,1.07,0.06,0.47,3.42
389,13,1998,9,1.13,2.07,0,0.22,3.42
390,8,1994,4,0.86,0,2.55,0.02,3.42
391,7,2004,9,1.75,1.2,0.02,0.43,3.41
392,3,1990,3,1.73,0.69,0.59,0.4,3.41
393,7,2002,1,0.46,2.28,0.05,0.61,3.4
394,13,2000,6,1.56,1.47,0.19,0.17,3.39
395,5,2008,9,2.03,1.03,0,0.32,3.38
396,11,2015,9,1.08,1.35,0.48,0.47,3.38
397,4,2009,9,1.43,0.94,0.74,0.27,3.38
398,13,1998,10,2.47,0.76,0,0.13,3.36
399,12,2000,9,1.9,0.67,0.73,0.06,3.36
400,4,2008,5,0.65,1.61,0.82,0.28,3.36
401,13,1998,11,1.63,1.53,0,0.18,3.34
402,5,2013,9,1.9,1.14,0.01,0.29,3.34
403,4,2006,6,0,0.99,2.32,0.02,3.33
404,7,2002,7,1.45,1.29,0.12,0.46,3.33
405,7,2002,2,1.44,1.01,0.57,0.3,3.33
406,1,2012,6,1.15,1.17,0.76,0.24,3.32
407,7,2005,9,1.47,1.39,0.03,0.43,3.32
408,7,2001,7,1.99,1.05,0.05,0.22,3.31
409,7,2003,9,1.5,1.28,0.05,0.46,3.28
410,11,2015,9,0.8,1.92,0.06,0.5,3.28
411,18,2014,7,2.13,0.92,0,0.23,3.28
412,7,2003,9,1.89,1.05,0.02,0.31,3.27
413,1,2008,6,1.36,1.13,0.46,0.32,3.27
414,17,2009,3,0.5,1.59,0.31,0.87,3.27
415,10,2015,9,0.25,0.19,2.78,0.04,3.26
416,13,1995,10,0.95,1.3,0.77,0.22,3.24
417,18,2015,1,0.88,2.11,0,0.23,3.23
418,6,2011,11,1.27,1.33,0.12,0.51,3.23
419,11,2015,1,2.33,0.3,0,0.59,3.22
420,10,2014,4,0.03,0,3.18,0,3.22
421,13,1999,7,1.72,1.33,0,0.16,3.21
422,2,1983,1,0.73,0.1,2.35,0.02,3.2
423,8,1995,10,2.26,0.72,0.12,0.1,3.2
424,13,2000,10,1.76,1.21,0.07,0.16,3.2
425,17,2007,4,1.35,0.6,0.8,0.44,3.19
426,17,2008,9,1.48,1.01,0.04,0.66,3.19
427,8,1995,4,0,0,3.19,0,3.19
428,5,2010,6,2.15,0.77,0.01,0.26,3.19
429,7,2003,9,1.78,1.12,0.09,0.19,3.18
430,20,2015,2,1.18,0.87,0.93,0.2,3.18
431,6,2010,4,1.52,1.08,0.1,0.47,3.17
433,4,2008,6,0.58,0.51,1.93,0.14,3.17
434,7,2001,8,2.06,0.56,0.38,0.17,3.17
435,4,2008,11,1.88,0.98,0,0.3,3.16
436,19,2001,8,1.92,0.16,0.99,0.09,3.15
437,4,2008,9,1.79,1.06,0,0.29,3.15
438,4,2005,2,1.22,1.57,0.06,0.29,3.15
439,6,2012,7,0.88,0.97,0.88,0.42,3.15
440,18,2014,7,1.89,0.99,0.03,0.24,3.15
441,7,2007,1,0.68,0,0,2.46,3.14
442,13,2000,9,1.7,1.25,0.02,0.16,3.13
443,13,1998,3,2.14,0.86,0,0.13,3.12
444,12,1999,3,2.31,0.62,0.14,0.04,3.12
445,4,2006,6,0.91,1,1.03,0.17,3.12
446,6,2007,4,1.69,0.87,0.14,0.42,3.12
447,2,1990,4,0.08,0,3.03,0.01,3.12
448,6,2010,11,1.29,1.27,0.06,0.5,3.12
449,5,2010,4,1.99,0.82,0.03,0.27,3.11
450,5,2014,1,0.78,2.02,0,0.3,3.11
451,7,2002,10,2.17,0.28,0.55,0.08,3.09
452,7,2001,1,2.5,0.16,0.01,0.42,3.08
453,2,1986,1,1.92,0.45,0.64,0.07,3.08
454,5,2012,7,1.89,0.91,0.04,0.24,3.07
455,10,2013,9,1.4,0.99,0.46,0.22,3.07
456,3,1994,2,1.57,0.62,0.55,0.34,3.07
457,15,2002,8,1.72,1.21,0,0.14,3.07
458,5,2012,4,1.94,0.86,0.03,0.24,3.07
459,5,2008,9,1.91,0.84,0,0.29,3.05
460,5,2012,7,1.38,1.35,0.02,0.28,3.04
461,1,2010,2,2.06,0.64,0.12,0.22,3.04
462,5,2008,9,1.94,0.8,0.02,0.27,3.03
463,13,1995,2,1.54,1.33,0,0.16,3.03
464,6,2009,7,1.4,1.07,0.08,0.47,3.02
465,14,2002,9,1.85,1.04,0,0.13,3.02
466,2,1987,10,2.03,0.47,0.45,0.07,3.02
467,7,2002,1,1.45,1.13,0.07,0.38,3.02
468,18,2015,7,2.38,0.32,0,0.31,3
469,5,2012,1,2.6,0.21,0.01,0.19,3
470,7,2007,10,1.15,0,0.76,1.09,3
472,11,2014,9,1.01,1.41,0.05,0.53,2.99
473,8,1993,7,1.61,0.51,0.8,0.07,2.99
474,15,2000,6,1.67,1.18,0,0.13,2.99
475,7,2002,1,0.12,1.26,1.16,0.45,2.99
476,7,2001,9,1.36,0.86,0.64,0.13,2.99
477,10,2015,8,0.47,1,1.39,0.12,2.98
478,6,2010,7,1.33,1.12,0.08,0.45,2.97
479,15,2014,8,0.96,1.72,0,0.29,2.97
480,15,2011,4,1.58,1.01,0,0.38,2.97
481,7,2003,2,1.04,1.37,0.06,0.49,2.96
482,4,2008,2,1.57,0.04,1.19,0.15,2.96
483,7,2002,9,1.36,1.15,0.04,0.41,2.96
484,5,2009,10,1.82,0.71,0.15,0.26,2.95
485,12,1996,3,1.98,0.58,0.34,0.04,2.94
486,7,2003,7,2.22,0.51,0.06,0.15,2.94
487,7,2005,10,1.45,1.11,0.04,0.33,2.94
488,6,2009,9,1.76,0.69,0.12,0.37,2.94
489,9,2001,5,2.07,0.77,0.05,0.05,2.94
490,5,2007,4,1.83,0.8,0.03,0.27,2.93
